level,start_date,end_date,variant,geography,geography_code,region,proportion_pos,proportion_pos_high_95,proportion_pos_low_95
variant_national,2021-04-04,2021-04-04,not_compatible_with_uk_variant,England,E92000001,NA,3.97928248858469e-5,7.18741242472701e-5,1.79940836735264e-5
variant_national,2021-04-04,2021-04-04,not_compatible_with_uk_variant,Northern Ireland,N92000002,NA,3.05941149022436e-4,7.71162198066612e-4,7.00951131872161e-5
variant_national,2021-04-04,2021-04-04,not_compatible_with_uk_variant,Scotland,S92000003,NA,6.57010909975834e-5,2.05537288680113e-4,8.25662142543395e-6
variant_national,2021-04-04,2021-04-04,not_compatible_with_uk_variant,Wales,W92000004,NA,1.7771727225483798e-4,4.26846121922044e-4,4.29054124878361e-5
variant_national,2021-04-04,2021-04-04,uk_variant_compatible,England,E92000001,NA,0.0016368475962037902,0.00187555519444722,0.00141485267918597
variant_national,2021-04-04,2021-04-04,uk_variant_compatible,Northern Ireland,N92000002,NA,0.0013364202999944603,0.00230208234656963,6.47680253117978e-4
variant_national,2021-04-04,2021-04-04,uk_variant_compatible,Scotland,S92000003,NA,0.0019203503257195801,0.00272335054023189,0.00127285989092237
variant_national,2021-04-04,2021-04-04,uk_variant_compatible,Wales,W92000004,NA,3.75020492098613e-4,7.79792492365144e-4,1.25305188670478e-4
variant_national,2021-04-04,2021-04-04,virus_too_low_for_variant_to_be_identifiable,England,E92000001,NA,7.25778974781649e-4,8.831314066869471e-4,5.83724575348498e-4
variant_national,2021-04-04,2021-04-04,virus_too_low_for_variant_to_be_identifiable,Northern Ireland,N92000002,NA,5.49791087286079e-4,0.00113837196906986,1.9021293727117803e-4
variant_national,2021-04-04,2021-04-04,virus_too_low_for_variant_to_be_identifiable,Scotland,S92000003,NA,5.8145615873067e-4,9.99940908633571e-4,2.88833837774375e-4
variant_national,2021-04-04,2021-04-04,virus_too_low_for_variant_to_be_identifiable,Wales,W92000004,NA,5.90896485652385e-4,0.00105183137095488,2.71106965022928e-4
variant_national,2021-04-05,2021-04-05,not_compatible_with_uk_variant,England,E92000001,NA,3.93537981035126e-5,7.06244427379733e-5,1.82040284671938e-5
variant_national,2021-04-05,2021-04-05,not_compatible_with_uk_variant,Northern Ireland,N92000002,NA,2.93437946153941e-4,7.49310109863776e-4,6.71126958354522e-5
variant_national,2021-04-05,2021-04-05,not_compatible_with_uk_variant,Scotland,S92000003,NA,6.32341033645072e-5,1.9804963567584004e-4,7.96674424131926e-6
variant_national,2021-04-05,2021-04-05,not_compatible_with_uk_variant,Wales,W92000004,NA,1.66682831410596e-4,4.06290965061112e-4,3.97208677331308e-5
variant_national,2021-04-05,2021-04-05,uk_variant_compatible,England,E92000001,NA,0.00155542103994633,0.00178731326139969,0.00134247785509608
variant_national,2021-04-05,2021-04-05,uk_variant_compatible,Northern Ireland,N92000002,NA,0.0012740488213338903,0.00220835986071653,6.07602674552064e-4
variant_national,2021-04-05,2021-04-05,uk_variant_compatible,Scotland,S92000003,NA,0.00189587899484414,0.0026868665183189,0.001255711504732
variant_national,2021-04-05,2021-04-05,uk_variant_compatible,Wales,W92000004,NA,4.03952038391914e-4,8.35748740363828e-4,1.39383126482578e-4
variant_national,2021-04-05,2021-04-05,virus_too_low_for_variant_to_be_identifiable,England,E92000001,NA,6.8744693077068e-4,8.37586874640306e-4,5.53275481465071e-4
variant_national,2021-04-05,2021-04-05,virus_too_low_for_variant_to_be_identifiable,Northern Ireland,N92000002,NA,5.18246086911795e-4,0.00108858460539318,1.7391605909277e-4
variant_national,2021-04-05,2021-04-05,virus_too_low_for_variant_to_be_identifiable,Scotland,S92000003,NA,5.52300973824164e-4,9.617597009169209e-4,2.70629832617476e-4
variant_national,2021-04-05,2021-04-05,virus_too_low_for_variant_to_be_identifiable,Wales,W92000004,NA,5.51323899173234e-4,9.98763217711699e-4,2.45033864159825e-4
variant_national,2021-04-06,2021-04-06,not_compatible_with_uk_variant,England,E92000001,NA,3.8980584494423e-5,6.97177779831774e-5,1.82152820941237e-5
variant_national,2021-04-06,2021-04-06,not_compatible_with_uk_variant,Northern Ireland,N92000002,NA,2.81164549255287e-4,7.11753639566318e-4,6.29699948405449e-5
variant_national,2021-04-06,2021-04-06,not_compatible_with_uk_variant,Scotland,S92000003,NA,6.08691219390321e-5,1.9197516725028e-4,7.45929331838482e-6
variant_national,2021-04-06,2021-04-06,not_compatible_with_uk_variant,Wales,W92000004,NA,1.56229968772567e-4,3.86064238779878e-4,3.62023270853443e-5
variant_national,2021-04-06,2021-04-06,uk_variant_compatible,England,E92000001,NA,0.0014758338946651401,0.0017001589208649097,0.00127142061771411
variant_national,2021-04-06,2021-04-06,uk_variant_compatible,Northern Ireland,N92000002,NA,0.0012150524505468,0.00213428692446324,5.76204131797212e-4
variant_national,2021-04-06,2021-04-06,uk_variant_compatible,Scotland,S92000003,NA,0.00187079969546723,0.00265932916708358,0.0012430344929273
variant_national,2021-04-06,2021-04-06,uk_variant_compatible,Wales,W92000004,NA,4.3250012438701896e-4,8.819862283537601e-4,1.51205843653932e-4
variant_national,2021-04-06,2021-04-06,virus_too_low_for_variant_to_be_identifiable,England,E92000001,NA,6.49556932601207e-4,7.9350486770403e-4,5.22068080142254e-4
variant_national,2021-04-06,2021-04-06,virus_too_low_for_variant_to_be_identifiable,Northern Ireland,N92000002,NA,4.89716708988945e-4,0.0010405407203859,1.60124051122906e-4
variant_national,2021-04-06,2021-04-06,virus_too_low_for_variant_to_be_identifiable,Scotland,S92000003,NA,5.24385736843629e-4,9.266999653843e-4,2.51108975792253e-4
variant_national,2021-04-06,2021-04-06,virus_too_low_for_variant_to_be_identifiable,Wales,W92000004,NA,5.14614978199038e-4,9.4790448921259e-4,2.20937437229344e-4
variant_national,2021-04-07,2021-04-07,not_compatible_with_uk_variant,England,E92000001,NA,3.86528819551891e-5,6.90397604822069e-5,1.85044179442262e-5
variant_national,2021-04-07,2021-04-07,not_compatible_with_uk_variant,Northern Ireland,N92000002,NA,2.69139169603498e-4,6.84083855082711e-4,5.8496567951992704e-5
variant_national,2021-04-07,2021-04-07,not_compatible_with_uk_variant,Scotland,S92000003,NA,5.86170972606356e-5,1.8341918924319104e-4,7.33000990292563e-6
variant_national,2021-04-07,2021-04-07,not_compatible_with_uk_variant,Wales,W92000004,NA,1.46404390601889e-4,3.637608095083029e-4,3.25201824826751e-5
variant_national,2021-04-07,2021-04-07,uk_variant_compatible,England,E92000001,NA,0.00139815871652359,0.00161124862746889,0.00120265670755542
variant_national,2021-04-07,2021-04-07,uk_variant_compatible,Northern Ireland,N92000002,NA,0.00115979348302004,0.00205037785799942,5.39560019475256e-4
variant_national,2021-04-07,2021-04-07,uk_variant_compatible,Scotland,S92000003,NA,0.00184556417357241,0.00262357962265314,0.00122394522571566
variant_national,2021-04-07,2021-04-07,uk_variant_compatible,Wales,W92000004,NA,4.59818093289411e-4,9.33020556209774e-4,1.65314965924308e-4
variant_national,2021-04-07,2021-04-07,virus_too_low_for_variant_to_be_identifiable,England,E92000001,NA,6.12165276833733e-4,7.49257917456239e-4,4.90640411944265e-4
variant_national,2021-04-07,2021-04-07,virus_too_low_for_variant_to_be_identifiable,Northern Ireland,N92000002,NA,4.64027975846126e-4,9.9705022694939e-4,1.48529058401525e-4
variant_national,2021-04-07,2021-04-07,virus_too_low_for_variant_to_be_identifiable,Scotland,S92000003,NA,4.9781041364522e-4,8.83126730754606e-4,2.34219972948028e-4
variant_national,2021-04-07,2021-04-07,virus_too_low_for_variant_to_be_identifiable,Wales,W92000004,NA,4.80699181439297e-4,8.98965117384679e-4,2.0100129440252e-4
variant_national,2021-04-08,2021-04-08,not_compatible_with_uk_variant,England,E92000001,NA,3.8360445917633e-5,6.79081163891447e-5,1.86199486752472e-5
variant_national,2021-04-08,2021-04-08,not_compatible_with_uk_variant,Northern Ireland,N92000002,NA,2.57373780928436e-4,6.63194838270271e-4,5.38528005842595e-5
variant_national,2021-04-08,2021-04-08,not_compatible_with_uk_variant,Scotland,S92000003,NA,5.64843159043065e-5,1.7790163839879e-4,6.86767946020161e-6
variant_national,2021-04-08,2021-04-08,not_compatible_with_uk_variant,Wales,W92000004,NA,1.37230765218149e-4,3.4472745468438896e-4,2.92499989761469e-5
variant_national,2021-04-08,2021-04-08,uk_variant_compatible,England,E92000001,NA,0.0013228309310059998,0.0015281605530128501,0.00113564628421641
variant_national,2021-04-08,2021-04-08,uk_variant_compatible,Northern Ireland,N92000002,NA,0.00110846766997483,0.00197987598319998,5.10636219357187e-4
variant_national,2021-04-08,2021-04-08,uk_variant_compatible,Scotland,S92000003,NA,0.0018204230681725,0.00260355955067518,0.00120096925640916
variant_national,2021-04-08,2021-04-08,uk_variant_compatible,Wales,W92000004,NA,4.84965757714379e-4,9.77509403023439e-4,1.78312376170165e-4
variant_national,2021-04-08,2021-04-08,virus_too_low_for_variant_to_be_identifiable,England,E92000001,NA,5.75555410905032e-4,7.06464138384201e-4,4.6086076278219e-4
variant_national,2021-04-08,2021-04-08,virus_too_low_for_variant_to_be_identifiable,Northern Ireland,N92000002,NA,4.4097542375322996e-4,9.64931589154562e-4,1.36335096781598e-4
variant_national,2021-04-08,2021-04-08,virus_too_low_for_variant_to_be_identifiable,Scotland,S92000003,NA,4.72628489863389e-4,8.44329019004003e-4,2.19989330941134e-4
variant_national,2021-04-08,2021-04-08,virus_too_low_for_variant_to_be_identifiable,Wales,W92000004,NA,4.49459674689095e-4,8.5637132794966e-4,1.8156335677629398e-4
variant_national,2021-04-09,2021-04-09,not_compatible_with_uk_variant,England,E92000001,NA,3.80998132681318e-5,6.66903344440714e-5,1.86567372951471e-5
variant_national,2021-04-09,2021-04-09,not_compatible_with_uk_variant,Northern Ireland,N92000002,NA,2.45876943998335e-4,6.40078839686535e-4,4.8905666459206e-5
variant_national,2021-04-09,2021-04-09,not_compatible_with_uk_variant,Scotland,S92000003,NA,5.4473032709274307e-5,1.70492561148173e-4,6.52814082729106e-6
variant_national,2021-04-09,2021-04-09,not_compatible_with_uk_variant,Wales,W92000004,NA,1.28715333507091e-4,3.30352648735238e-4,2.6402261223378603e-5
variant_national,2021-04-09,2021-04-09,uk_variant_compatible,England,E92000001,NA,0.00125047249062366,0.0014490966444035,0.00107153417176348
variant_national,2021-04-09,2021-04-09,uk_variant_compatible,Northern Ireland,N92000002,NA,0.00106112010061319,0.00192101385903501,4.80378825622181e-4
variant_national,2021-04-09,2021-04-09,uk_variant_compatible,Scotland,S92000003,NA,0.00179541510059128,0.00257809969921637,0.00117652634611321
variant_national,2021-04-09,2021-04-09,uk_variant_compatible,Wales,W92000004,NA,5.06973656182797e-4,0.00102047234871308,1.90902560796915e-4
variant_national,2021-04-09,2021-04-09,virus_too_low_for_variant_to_be_identifiable,England,E92000001,NA,5.40110908227336e-4,6.651959557421269e-4,4.3059042431709606e-4
variant_national,2021-04-09,2021-04-09,virus_too_low_for_variant_to_be_identifiable,Northern Ireland,N92000002,NA,4.20336414758559e-4,9.34295670358266e-4,1.25100400437217e-4
variant_national,2021-04-09,2021-04-09,virus_too_low_for_variant_to_be_identifiable,Scotland,S92000003,NA,4.48854220685322e-4,8.146073822378808e-4,2.0510710079576e-4
variant_national,2021-04-09,2021-04-09,virus_too_low_for_variant_to_be_identifiable,Wales,W92000004,NA,4.20746094763818e-4,8.18418359334179e-4,1.66008257785889e-4
variant_national,2021-04-10,2021-04-10,not_compatible_with_uk_variant,England,E92000001,NA,3.78703124618693e-5,6.59290129930928e-5,1.8622552454954e-5
variant_national,2021-04-10,2021-04-10,not_compatible_with_uk_variant,Northern Ireland,N92000002,NA,2.34658832694635e-4,6.13402193563865e-4,4.501614782438069e-5
variant_national,2021-04-10,2021-04-10,not_compatible_with_uk_variant,Scotland,S92000003,NA,5.2582737680949094e-5,1.66890390777565e-4,6.37794654923584e-6
variant_national,2021-04-10,2021-04-10,not_compatible_with_uk_variant,Wales,W92000004,NA,1.20850261793101e-4,3.1986939912385e-4,2.3954412965248296e-5
variant_national,2021-04-10,2021-04-10,uk_variant_compatible,England,E92000001,NA,0.00118172438489338,0.00137318365892297,0.00101116499269164
variant_national,2021-04-10,2021-04-10,uk_variant_compatible,Northern Ireland,N92000002,NA,0.00101767288830671,0.0018609579330502697,4.5340402036911994e-4
variant_national,2021-04-10,2021-04-10,uk_variant_compatible,Scotland,S92000003,NA,0.0017703808701982702,0.0025578728770928897,0.00115597553225175
variant_national,2021-04-10,2021-04-10,uk_variant_compatible,Wales,W92000004,NA,5.2493004202293e-4,0.00106086743927738,1.9817303752238098e-4
variant_national,2021-04-10,2021-04-10,virus_too_low_for_variant_to_be_identifiable,England,E92000001,NA,5.0620084343006e-4,6.26209015248579e-4,4.01402214037051e-4
variant_national,2021-04-10,2021-04-10,virus_too_low_for_variant_to_be_identifiable,Northern Ireland,N92000002,NA,4.0188339342165193e-4,9.12013492035323e-4,1.1519900239188402e-4
variant_national,2021-04-10,2021-04-10,virus_too_low_for_variant_to_be_identifiable,Scotland,S92000003,NA,4.26474102260465e-4,7.78044830091812e-4,1.8959153456519397e-4
variant_national,2021-04-10,2021-04-10,virus_too_low_for_variant_to_be_identifiable,Wales,W92000004,NA,3.94389618908871e-4,7.781435736790441e-4,1.50832973975941e-4
variant_national,2021-04-11,2021-04-11,not_compatible_with_uk_variant,England,E92000001,NA,4.055539103097295e-5,7.265552668330125e-5,1.916250641365635e-5
variant_national,2021-04-11,2021-04-11,not_compatible_with_uk_variant,Northern Ireland,N92000002,NA,2.242327531673305e-4,6.040602041689806e-4,4.1682322071016244e-5
variant_national,2021-04-11,2021-04-11,not_compatible_with_uk_variant,Scotland,S92000003,NA,4.79202771757443e-5,1.467227780605695e-4,6.183859043885021e-6
variant_national,2021-04-11,2021-04-11,not_compatible_with_uk_variant,Wales,W92000004,NA,1.18836231444179e-4,3.28911148898456e-4,2.101700947777885e-5
variant_national,2021-04-11,2021-04-11,uk_variant_compatible,England,E92000001,NA,0.001126294331908725,0.0013168930971237001,9.536452101150574e-4
variant_national,2021-04-11,2021-04-11,uk_variant_compatible,Northern Ireland,N92000002,NA,9.02731894276306e-4,0.0016887695232320951,3.8440939588179094e-4
variant_national,2021-04-11,2021-04-11,uk_variant_compatible,Scotland,S92000003,NA,0.00173328901031804,0.0024952892264426653,0.001123598196397245
variant_national,2021-04-11,2021-04-11,uk_variant_compatible,Wales,W92000004,NA,5.26468488977967e-4,0.0010265729405418969,2.0824223789004802e-4
variant_national,2021-04-11,2021-04-11,virus_too_low_for_variant_to_be_identifiable,England,E92000001,NA,4.56205189671843e-4,5.7626502370703e-4,3.5449893302435154e-4
variant_national,2021-04-11,2021-04-11,virus_too_low_for_variant_to_be_identifiable,Northern Ireland,N92000002,NA,3.4838222023893847e-4,8.329971863073929e-4,8.681121343754945e-5
variant_national,2021-04-11,2021-04-11,virus_too_low_for_variant_to_be_identifiable,Scotland,S92000003,NA,4.036277803947185e-4,7.439237415139081e-4,1.77467184528891e-4
variant_national,2021-04-11,2021-04-11,virus_too_low_for_variant_to_be_identifiable,Wales,W92000004,NA,3.96119630493396e-4,8.022686062637889e-4,1.4667784573287702e-4
variant_national,2021-04-12,2021-04-12,not_compatible_with_uk_variant,England,E92000001,NA,3.95916816840054e-5,7.007378213725696e-5,1.88957273279341e-5
variant_national,2021-04-12,2021-04-12,not_compatible_with_uk_variant,Northern Ireland,N92000002,NA,2.139090771253015e-4,5.831476431654235e-4,3.94636183849282e-5
variant_national,2021-04-12,2021-04-12,not_compatible_with_uk_variant,Scotland,S92000003,NA,4.6261437628472153e-5,1.4174383159765998e-4,5.931964358066385e-6
variant_national,2021-04-12,2021-04-12,not_compatible_with_uk_variant,Wales,W92000004,NA,1.11296739525351e-4,3.124769805760695e-4,1.89655302857441e-5
variant_national,2021-04-12,2021-04-12,uk_variant_compatible,England,E92000001,NA,0.0010774457515695252,0.00126459573417162,9.10474457545406e-4
variant_national,2021-04-12,2021-04-12,uk_variant_compatible,Northern Ireland,N92000002,NA,8.76992552209045e-4,0.0016480364620326648,3.708295713796615e-4
variant_national,2021-04-12,2021-04-12,uk_variant_compatible,Scotland,S92000003,NA,0.0017066595620509298,0.002465837225875255,0.001103182764543495
variant_national,2021-04-12,2021-04-12,uk_variant_compatible,Wales,W92000004,NA,5.29525831435378e-4,0.0010339171370494535,2.10450505567416e-4
variant_national,2021-04-12,2021-04-12,virus_too_low_for_variant_to_be_identifiable,England,E92000001,NA,4.313003008627645e-4,5.45552368488509e-4,3.3432478400461654e-4
variant_national,2021-04-12,2021-04-12,virus_too_low_for_variant_to_be_identifiable,Northern Ireland,N92000002,NA,3.419139864212935e-4,8.155736452587591e-4,8.56055013350266e-5
variant_national,2021-04-12,2021-04-12,virus_too_low_for_variant_to_be_identifiable,Scotland,S92000003,NA,3.8389116369853604e-4,7.162613916305775e-4,1.66555938787846e-4
variant_national,2021-04-12,2021-04-12,virus_too_low_for_variant_to_be_identifiable,Wales,W92000004,NA,3.739649453423895e-4,7.639888974955091e-4,1.3561952898437048e-4
variant_national,2021-04-13,2021-04-13,not_compatible_with_uk_variant,England,E92000001,NA,3.88097556252548e-5,6.857012525413115e-5,1.862438251921055e-5
variant_national,2021-04-13,2021-04-13,not_compatible_with_uk_variant,Northern Ireland,N92000002,NA,2.03899692662265e-4,5.628959012831151e-4,3.7474180657763354e-5
variant_national,2021-04-13,2021-04-13,not_compatible_with_uk_variant,Scotland,S92000003,NA,4.486881224845755e-5,1.37488579166525e-4,5.710314062810065e-6
variant_national,2021-04-13,2021-04-13,not_compatible_with_uk_variant,Wales,W92000004,NA,1.044434553884155e-4,2.957599575253e-4,1.698217244187445e-5
variant_national,2021-04-13,2021-04-13,uk_variant_compatible,England,E92000001,NA,0.0010303751663263,0.00121150031452361,8.666403040853545e-4
variant_national,2021-04-13,2021-04-13,uk_variant_compatible,Northern Ireland,N92000002,NA,8.537799761896645e-4,0.0016139150210933949,3.601580003283685e-4
variant_national,2021-04-13,2021-04-13,uk_variant_compatible,Scotland,S92000003,NA,0.00167892289534032,0.002431486284420065,0.001079217673496795
variant_national,2021-04-13,2021-04-13,uk_variant_compatible,Wales,W92000004,NA,5.283964274355991e-4,0.0010362166250997445,2.103634504596365e-4
variant_national,2021-04-13,2021-04-13,virus_too_low_for_variant_to_be_identifiable,England,E92000001,NA,4.07616403226973e-4,5.17601494272213e-4,3.143572235749555e-4
variant_national,2021-04-13,2021-04-13,virus_too_low_for_variant_to_be_identifiable,Northern Ireland,N92000002,NA,3.360918209292155e-4,7.94419273109038e-4,8.40655106737381e-5
variant_national,2021-04-13,2021-04-13,virus_too_low_for_variant_to_be_identifiable,Scotland,S92000003,NA,3.65497817045121e-4,6.876649281622915e-4,1.547472231812345e-4
variant_national,2021-04-13,2021-04-13,virus_too_low_for_variant_to_be_identifiable,Wales,W92000004,NA,3.532612681280895e-4,7.225642826305515e-4,1.2565164648825448e-4
variant_national,2021-04-14,2021-04-14,not_compatible_with_uk_variant,England,E92000001,NA,3.81754163843023e-5,6.744214108593086e-5,1.838948583041175e-5
variant_national,2021-04-14,2021-04-14,not_compatible_with_uk_variant,Northern Ireland,N92000002,NA,1.942531712940225e-4,5.424619501585635e-4,3.45711988828648e-5
variant_national,2021-04-14,2021-04-14,not_compatible_with_uk_variant,Scotland,S92000003,NA,4.37135291531038e-5,1.353098609508495e-4,5.528588060755815e-6
variant_national,2021-04-14,2021-04-14,not_compatible_with_uk_variant,Wales,W92000004,NA,9.82356124226653e-5,2.825771787815845e-4,1.518367764154075e-5
variant_national,2021-04-14,2021-04-14,uk_variant_compatible,England,E92000001,NA,9.85226216544537e-4,0.001161591788508045,8.257537295906861e-4
variant_national,2021-04-14,2021-04-14,uk_variant_compatible,Northern Ireland,N92000002,NA,8.32692589456431e-4,0.0015834620778029198,3.501480599742095e-4
variant_national,2021-04-14,2021-04-14,uk_variant_compatible,Scotland,S92000003,NA,0.001649351181693535,0.002403310546977965,0.001051961049480655
variant_national,2021-04-14,2021-04-14,uk_variant_compatible,Wales,W92000004,NA,5.232327846656679e-4,0.001027931552482313,2.07106884697373e-4
variant_national,2021-04-14,2021-04-14,virus_too_low_for_variant_to_be_identifiable,England,E92000001,NA,3.8508562608358e-4,4.90086263737687e-4,2.9651581390502445e-4
variant_national,2021-04-14,2021-04-14,virus_too_low_for_variant_to_be_identifiable,Northern Ireland,N92000002,NA,3.308400455046645e-4,7.855073401864665e-4,8.271856732584046e-5
variant_national,2021-04-14,2021-04-14,virus_too_low_for_variant_to_be_identifiable,Scotland,S92000003,NA,3.4837254491237803e-4,6.594349969982946e-4,1.455495522099275e-4
variant_national,2021-04-14,2021-04-14,virus_too_low_for_variant_to_be_identifiable,Wales,W92000004,NA,3.339185222082005e-4,6.887405871689035e-4,1.1529774145765351e-4
variant_national,2021-04-15,2021-04-15,not_compatible_with_uk_variant,England,E92000001,NA,3.766138565122965e-5,6.59782338155864e-5,1.8287895558879e-5
variant_national,2021-04-15,2021-04-15,not_compatible_with_uk_variant,Northern Ireland,N92000002,NA,1.8500904011605547e-4,5.18951103808573e-4,3.232144220480945e-5
variant_national,2021-04-15,2021-04-15,not_compatible_with_uk_variant,Scotland,S92000003,NA,4.277077524624325e-5,1.3321758798181301e-4,5.2688201297388905e-6
variant_national,2021-04-15,2021-04-15,not_compatible_with_uk_variant,Wales,W92000004,NA,9.262853318027099e-5,2.7094710651620103e-4,1.39124792723836e-5
variant_national,2021-04-15,2021-04-15,uk_variant_compatible,England,E92000001,NA,9.42257719458912e-4,0.001113397520282445,7.87290686503931e-4
variant_national,2021-04-15,2021-04-15,uk_variant_compatible,Northern Ireland,N92000002,NA,8.133058956508576e-4,0.00155660210106101,3.4195090702030396e-4
