start_date,end_date,middle,lower,upper,geography,date
2020-05-03T00:00:00Z,2020-05-16T00:00:00Z,0.00340386319087373,0.00241814923439187,0.00465576901999853,England,2020-05-10
2020-05-17T00:00:00Z,2020-05-30T00:00:00Z,0.00184832705698212,0.0012494369216853,0.00263405677485431,England,2020-05-24
2020-05-31T00:00:00Z,2020-06-13T00:00:00Z,0.000666913174232856,0.000312456995084733,0.00124553707146083,England,2020-06-07
2020-06-14T00:00:00Z,2020-06-27T00:00:00Z,0.00078449469909481,0.000393544070139454,0.00139864922529819,England,2020-06-21
2020-06-28T00:00:00Z,2020-07-11T00:00:00Z,0.000468969162630617,0.000248815442111119,0.000803918316536669,England,2020-07-05
2020-07-12T00:00:00Z,2020-07-25T00:00:00Z,0.000999792599747507,0.000589704318750759,0.00158559485826063,England,2020-07-19
2020-07-26T00:00:00Z,2020-08-08T00:00:00Z,0.000412219395845322,0.000227652547891865,0.000686518665351811,England,2020-08-02
2020-08-09T00:00:00Z,2020-08-22T00:00:00Z,0.000623543138518944,0.000375160702732781,0.000974150613784825,England,2020-08-16
2020-08-23T00:00:00Z,2020-09-05T00:00:00Z,0.000961901942683212,0.000694331139956674,0.00129842776328447,England,2020-08-30
2020-09-06T00:00:00Z,2020-09-19T00:00:00Z,0.00219654863782951,0.00183514988579084,0.00260817432138085,England,2020-09-13
2020-09-20T00:00:00Z,2020-10-03T00:00:00Z,0.00520964568373357,0.00475816431606554,0.00569224171783446,England,2020-09-27
2020-10-04T00:00:00Z,2020-10-17T00:00:00Z,0.0093025022931801,0.0087672347997959,0.0098616639652348,England,2020-10-11
2020-10-18T00:00:00Z,2020-10-31T00:00:00Z,0.0130830507876117,0.0124294568320093,0.0137617422419181,England,2020-10-25
2020-11-01T00:00:00Z,2020-11-14T00:00:00Z,0.0143919649792603,0.0137029055916133,0.0151063107478753,England,2020-11-08
2020-11-15T00:00:00Z,2020-11-28T00:00:00Z,0.0126723609005409,0.0120455769743755,0.0133229761580271,England,2020-11-22
2020-11-29T00:00:00Z,2020-12-12T00:00:00Z,0.0119907104599051,0.0113695290092754,0.0126366875766826,England,2020-12-06
2020-12-13T00:00:00Z,2020-12-26T00:00:00Z,0.0151397888422939,0.0143901970570933,0.0159178350710206,England,2020-12-20
2020-12-27T00:00:00Z,2021-01-09T00:00:00Z,0.0219836759556766,0.0211508803965075,0.0228402916792344,England,2021-01-03
2021-01-10T00:00:00Z,2021-01-23T00:00:00Z,0.0208987474762708,0.0200689264771933,0.0217535066216868,England,2021-01-17
2021-01-24T00:00:00Z,2021-02-06T00:00:00Z,0.0151546776085956,0.0144598781789848,0.0158738388069357,England,2021-01-31
2021-02-07T00:00:00Z,2021-02-20T00:00:00Z,0.00834271386905639,0.00782956354035408,0.0088804434533849,England,2021-02-14
2021-02-21T00:00:00Z,2021-03-06T00:00:00Z,0.00455614782532375,0.00415894589545352,0.00498091660874452,England,2021-02-28
2021-03-07T00:00:00Z,2021-03-20T00:00:00Z,0.00307568629845394,0.00274762363747378,0.00343204211419563,England,2021-03-14
2020-05-03T00:00:00Z,2020-05-16T00:00:00Z,0.00892341182215183,0.00381149232811193,0.0176474195267514,East Midlands,2020-05-10
2020-05-03T00:00:00Z,2020-05-16T00:00:00Z,0.0031946184484871,0.00120430724196944,0.00683424845455727,East of England,2020-05-10
2020-05-03T00:00:00Z,2020-05-16T00:00:00Z,0.00334217098956218,0.00128975017099357,0.00705036780520807,London,2020-05-10
2020-05-03T00:00:00Z,2020-05-16T00:00:00Z,0.00149829134609889,3.78173533864757e-05,0.00832491339974717,North East,2020-05-10
2020-05-03T00:00:00Z,2020-05-16T00:00:00Z,0.00421071819494682,0.00129201850270618,0.0101090414700566,North West,2020-05-10
2020-05-03T00:00:00Z,2020-05-16T00:00:00Z,0.00394769197270501,0.00164903712752333,0.00793125825950536,South East,2020-05-10
2020-05-03T00:00:00Z,2020-05-16T00:00:00Z,0.000448681849052435,5.29361922681463e-05,0.00163496531788368,South West,2020-05-10
2020-05-03T00:00:00Z,2020-05-16T00:00:00Z,0.00141117019031595,0.000281977568377861,0.00417676142795194,West Midlands,2020-05-10
2020-05-03T00:00:00Z,2020-05-16T00:00:00Z,0.00301686671055523,0.000674314262793534,0.00848006024090608,Yorkshire and the Humber,2020-05-10
