beta1,beta2,beta3,cutpoint,p
1.92573474136737,2.16082278502975,-1.12643599376658,3.22941173077624,0.710042042888216
1.84388628796044,2.47600138953144,-1.10202145262729,3.11074222727213,0.70296128243321
1.44900528414493,2.45976726376021,-1.07305078887751,2.62875089607616,0.660056170472842
1.05637740555619,2.23146321909919,-1.08214366364273,2.63578031628066,0.563754441197134
1.56431834337864,2.4942477443015,-1.0851993623835,2.54805022239433,0.649818610404852
1.47328179535015,1.84668680937654,-1.13396361018125,3.88890400309986,0.668992405955092
1.45488511387761,1.76672600524082,-1.13435021658837,3.80042421659725,0.667174596591993
1.62023229412368,2.30568963531255,-1.10111211360882,3.11027151531055,0.671153683933189
1.23624733257446,1.91879689739263,-1.09258729239632,3.68766362465067,0.656512318442995
1.08935812903547,2.34603856450768,-1.07928098152614,3.76672384055722,0.619630673527704
0.803872442416107,1.86421506127988,-1.085169271937,2.87353206694453,0.537105975966937
1.98353825080541,2.14919740217333,-1.13009610842434,3.25264323582103,0.7182442207681
2.11665708052433,1.59743896208078,-1.16616710797068,4.51938502932321,0.81125693129999
1.73094108695195,1.91637720031838,-1.13836237048185,3.74333451837675,0.704208904545947
1.53087398515215,1.78549677696805,-1.11585988802973,3.81175809937145,0.705022470262957
2.05194942423727,3.00899248449866,-1.08728008735142,3.20133456345217,0.741604443789038
1.19077581990099,2.21642654245186,-1.10655198421486,3.17549417895268,0.571399350991384
1.24793853887076,2.71917659676963,-1.0725543422367,2.54167380236178,0.591063596970113
1.80777859175071,2.63520073900277,-1.09362935254113,3.09692097982193,0.699467526553984
1.61463460151143,1.99876727101578,-1.1109949205985,3.27206005844614,0.687311449418927
1.82338575704105,1.88049524883952,-1.15072282744932,4.75572430235429,0.766254725864714
1.89488999808011,2.61329608245789,-1.1055413672796,3.93682227505409,0.740781115377537
1.86800887462404,2.06403169441077,-1.10549473189983,3.21993583562049,0.73979836231387
1.44608188869073,1.70606248557608,-1.12618971743346,3.47196064332383,0.665196560330712
