name,date,variable,median,q5,q25,q75,q95
cumulative_exposure,2020-07-31,11-15,0.10377103529132542,0.07569704878955716,0.08963135619948709,0.11717420868674867,0.1322984686134067
cumulative_exposure,2020-07-31,16-24,0.10355004829512698,0.0902133711727811,0.09765582391146965,0.10966382734978411,0.11564677765061553
cumulative_exposure,2020-07-31,2-10,0.13114425453093503,0.10713562637737988,0.11813813670435788,0.1426259572869135,0.1563151532313538
cumulative_exposure,2020-07-31,25-34,0.09588993510808913,0.08549172186632353,0.09222103021218206,0.09952216405329437,0.10659107215441282
cumulative_exposure,2020-07-31,35-49,0.07233542229167145,0.06436645218847119,0.06814537714800142,0.07499497698707677,0.0800524129517982
cumulative_exposure,2020-07-31,50-69,0.06408956640563601,0.05688236631158248,0.06096475596743855,0.0665772485857955,0.06975761666746076
cumulative_exposure,2020-07-31,70+,0.05013197923495866,0.03624661995644918,0.04502077608953842,0.05289599556368885,0.058390640627758686
cumulative_exposure,2020-08-01,11-15,0.10381419353878586,0.07572488323621537,0.08965854451313784,0.1171960825836064,0.13233756073001868
cumulative_exposure,2020-08-01,16-24,0.10359288360373614,0.09029110280707622,0.09771783036494665,0.10970281240529882,0.11570900868930131
cumulative_exposure,2020-08-01,2-10,0.13122584408860222,0.10717404418808583,0.1182034230728589,0.142673651919354,0.1563564814617389
cumulative_exposure,2020-08-01,25-34,0.09594505733061676,0.08552959715561308,0.09227643747085068,0.09964326408585063,0.10665369097737688
cumulative_exposure,2020-08-01,35-49,0.07236548589181901,0.06443322812127439,0.06820110643843669,0.07504406088183485,0.0800811502109055
cumulative_exposure,2020-08-01,50-69,0.0641252654340208,0.056909811544022616,0.06099037048457664,0.06660883333701192,0.06978743610704653
cumulative_exposure,2020-08-01,70+,0.050157771487567726,0.036270765759404425,0.045049466048853896,0.05292800512662296,0.05841126885493671
cumulative_exposure,2020-08-02,11-15,0.10385627503834072,0.07575262068606105,0.08968548393317724,0.11721820433853954,0.1323741291495762
cumulative_exposure,2020-08-02,16-24,0.10363826271474985,0.09036801645149546,0.09777909623575626,0.10974477668540451,0.11577029955831676
cumulative_exposure,2020-08-02,2-10,0.13129931847607085,0.1072130981510687,0.1182640286688316,0.14272208748405968,0.1563988386322072
cumulative_exposure,2020-08-02,25-34,0.09599452578225065,0.08557070909331715,0.09233443880454505,0.09975703715822351,0.1067132145799963
cumulative_exposure,2020-08-02,35-49,0.07239625510287345,0.06449811467251057,0.06825734080876183,0.0750938129836762,0.08011103949029125
cumulative_exposure,2020-08-02,50-69,0.0641593374377914,0.05693715840684501,0.06101592121550147,0.06663959702088035,0.06981769768005455
cumulative_exposure,2020-08-02,70+,0.05018331758622624,0.03629565108801685,0.04507893719022432,0.052959317685531415,0.05843218495572712
cumulative_exposure,2020-08-03,11-15,0.10389560095368328,0.07578058799477976,0.08971219932167016,0.11724063700516187,0.1324081026668519
cumulative_exposure,2020-08-03,16-24,0.10368556374972865,0.09044340722067871,0.09784622355946086,0.10978947455589534,0.11583148958194128
cumulative_exposure,2020-08-03,2-10,0.13136589666958381,0.10725298023774107,0.11832034874391884,0.14277137718497532,0.1564416930933304
cumulative_exposure,2020-08-03,25-34,0.09604518269634743,0.08561514888195781,0.09240539588747022,0.09985879208094184,0.10677049425985419
cumulative_exposure,2020-08-03,35-49,0.0724278994135677,0.06456037813392398,0.06831381780491289,0.07514387346557258,0.08014226598121134
cumulative_exposure,2020-08-03,50-69,0.0641918119199455,0.056964206598617693,0.06104134257387336,0.06666974695431624,0.06984843332555415
cumulative_exposure,2020-08-03,70+,0.05020853029098615,0.03632135863617039,0.04510874862559269,0.052989698803702766,0.05845340722410064
cumulative_exposure,2020-08-04,11-15,0.10393279043895726,0.07580913571674429,0.08973869353009126,0.11726341477162688,0.13243957479849178
cumulative_exposure,2020-08-04,16-24,0.1037328327601606,0.09051675026530837,0.09790915411355156,0.10983659524437114,0.11589324775843413
cumulative_exposure,2020-08-04,2-10,0.13142679076321645,0.10729393396794563,0.1183729321719243,0.14282158414659404,0.15648456143872175
cumulative_exposure,2020-08-04,25-34,0.09609728102378118,0.08566294327484981,0.09247689713607625,0.09994546897136294,0.1068263026047978
cumulative_exposure,2020-08-04,35-49,0.0724606034057571,0.06461932579850312,0.06836724725172344,0.0751937839197522,0.08017496685670099
cumulative_exposure,2020-08-04,50-69,0.06422276360760859,0.05699078073172321,0.06106655344099584,0.06669945679930592,0.06987955423393673
cumulative_exposure,2020-08-04,70+,0.050233379486898155,0.03634796734776672,0.04513845441684341,0.05301734369127778,0.058474919687913976
cumulative_exposure,2020-08-05,11-15,0.10396834684859574,0.07583860107005233,0.08976495384325875,0.11728652230672984,0.13246875458936253
cumulative_exposure,2020-08-05,16-24,0.10378047238186722,0.0905877601592624,0.09796834918569265,0.10988581170117602,0.11595605660935539
cumulative_exposure,2020-08-05,2-10,0.13148313999553446,0.10733624562932784,0.11842243588112711,0.1428727426526304,0.15652709980844481
cumulative_exposure,2020-08-05,25-34,0.09615107324458338,0.0857140333331351,0.09254841135681209,0.10001824500837789,0.10688131600882009
cumulative_exposure,2020-08-05,35-49,0.07249454175536463,0.06466658009796022,0.06841777005762822,0.07524304351955685,0.08020921554950575
cumulative_exposure,2020-08-05,50-69,0.06425229663171339,0.05701674304888957,0.061091459610619264,0.06672884418146804,0.06991087560359495
cumulative_exposure,2020-08-05,70+,0.05025788414840493,0.03637552729005238,0.04516764558885855,0.05304485238664364,0.05849668436224115
