name,date,variable,level,q5,q10,q15,q20,q25,q30,q35,q40,q45,q50,q55,q60,q65,q70,q75,q80,q85,q90,q95
cumulative_exposure,2020-04-12,England,national,0.07350987942947163,0.07393090873313816,0.074330475401357,0.07457760476522098,0.07495648633348417,0.07521641685640908,0.07592264350916503,0.07636681534467146,0.07665853696765909,0.07690467663488848,0.07734470857487058,0.07783213883864146,0.07790955872773236,0.07837110522921739,0.07873172976276374,0.07903054987697358,0.07945020323434863,0.07987630719139187,0.08074573853726738
cumulative_exposure,2020-04-13,England,national,0.07397653977156732,0.07444773600969247,0.07482494090445298,0.07513012288519136,0.07536296731141906,0.07575306492424708,0.07638733772640213,0.07682529351600859,0.07708699145165951,0.07741230286017348,0.07778766917817956,0.07823638326182245,0.07843598418287145,0.0788679194347636,0.07918301002624845,0.07953055285042387,0.07995125529402099,0.08032067462352106,0.0811617471593315
cumulative_exposure,2020-04-14,England,national,0.07447528845424871,0.07491564637766356,0.07531151437059644,0.07561317486166678,0.07576197069480359,0.07629959235316765,0.0768406632240773,0.07723821011806245,0.07753463997555532,0.07786713817659985,0.07820655185007244,0.0787079652316515,0.07894453230755577,0.07928173957182731,0.07959730412140176,0.08001181550668197,0.08042540840652278,0.08073896582866003,0.08159300387461442
cumulative_exposure,2020-04-15,England,national,0.0749125559130714,0.0753442461165471,0.07579566374428413,0.07598855925491574,0.07621784584511204,0.07675802230225051,0.07727326170387958,0.077686751818165,0.07797360332303896,0.07832316188122163,0.07862267388861265,0.0791021335448149,0.07939650843520113,0.07968673687501249,0.08013081424318017,0.08047189791689212,0.08084077684320198,0.08114162924188836,0.08208606108780903
cumulative_exposure,2020-04-16,England,national,0.07532638809865574,0.07582343626935506,0.07625488877536929,0.07640477170490878,0.07663844418366514,0.07714216470017157,0.07771983749402153,0.07810633953218027,0.07842969118836865,0.07877116524379196,0.0790617474075004,0.07949472455475007,0.0798928445110073,0.08011768307577241,0.08061675314210162,0.08091630383562884,0.08124306820994338,0.08164732887837345,0.0825590878728121
cumulative_exposure,2020-04-17,England,national,0.07571940014354347,0.07620715901532722,0.076645418674421,0.07676370378896577,0.0770726144422452,0.0775346460496056,0.07814794751932616,0.07849569422812255,0.07885768410101718,0.07918977771085678,0.0794807999085552,0.07987510140706533,0.08032003740167766,0.08055060256289948,0.08102899356492305,0.08134232825621697,0.08173287439453174,0.0821285466948481,0.08300554386073435
cumulative_exposure,2020-04-18,England,national,0.07609059546243455,0.07655882658031604,0.0769741950867737,0.07715705736815755,0.07750149921153734,0.07791997937959796,0.07852526593970632,0.07888157960165179,0.07926607907451917,0.07961779611243275,0.07987618161720418,0.08024255725812807,0.08068340010930775,0.0809649040103549,0.08140387998251916,0.08174695700214257,0.08218647815408221,0.08257344670493089,0.08338137951216328
cumulative_exposure,2020-04-19,England,national,0.07643988997613187,0.07692133378655591,0.07739222121369979,0.07752757694866504,0.077908118281725,0.07828028047174823,0.07888918748312039,0.07925637299705428,0.07964813463743159,0.08000014483617968,0.08024855036994602,0.08060429189735596,0.08101451768214209,0.08136604406166358,0.08176015099214293,0.08216561739583467,0.08253044069070656,0.08298802129138952,0.08373541082139452
cumulative_exposure,2020-04-20,England,national,0.07680987237868392,0.07732123982417441,0.07776907376312714,0.07787847385996376,0.07825347374032476,0.07861700439933939,0.0792498670848757,0.0795962706348304,0.08002273001940235,0.0803592642767954,0.08059880917889221,0.08097547602796568,0.0813831547738388,0.08174433285398619,0.08209626502094797,0.08254921648286967,0.0828504291209921,0.0833737027704768,0.08410544817372455
cumulative_exposure,2020-04-21,England,national,0.077148932787411,0.07763618872918869,0.07809297361460686,0.07822065506038353,0.07859738299180255,0.07893758027297232,0.07959076583043578,0.07991256947776293,0.08036919020828187,0.08068060260248078,0.08092800851020102,0.08132252304199344,0.08175172001526042,0.08208677990350018,0.08241164957945682,0.08285039510377357,0.08322674989919462,0.08373210570609954,0.08446563353778089
cumulative_exposure,2020-04-22,England,national,0.07745951416189108,0.077934005878819,0.0783964969908428,0.07854160769844516,0.07894307056729327,0.07925703673562173,0.07990838103929607,0.08022983720599637,0.08068869639979749,0.08101489474404006,0.08125216148997576,0.08163104329132076,0.08210456314650037,0.08241713256689528,0.08272425126376179,0.08316149614224555,0.08355285243327566,0.0840649024121223,0.08480630752028555
cumulative_exposure,2020-04-23,England,national,0.07774435498100533,0.07823224505271077,0.07867393424867178,0.07884222508036443,0.07921425264528675,0.07955325555043717,0.08020515115456003,0.08051347708439693,0.08098283595225461,0.0813266324068439,0.08155915609522116,0.08191378489593122,0.08241815745870495,0.08272790218380184,0.08302334398487374,0.0834806490467079,0.08383380798389856,0.08437374991484425,0.08512742993539328
cumulative_exposure,2020-04-24,England,national,0.07800632362555797,0.07852698255196468,0.07892907544634108,0.07914970397917309,0.07947518582373159,0.07982764037898592,0.08048224072504458,0.0807903571663093,0.08125351905973656,0.08161496540039798,0.08183707822841563,0.08217780654884668,0.08266709590093863,0.08301876585585034,0.08330024771704964,0.08377557201070596,0.08408621383177951,0.08466025858679674,0.08542826100517122
cumulative_exposure,2020-04-25,England,national,0.07824828006351678,0.07880557102669428,0.07916788349909167,0.07944587470591066,0.07971024555250045,0.08008177429559488,0.08074099652927663,0.081047622283281745,0.08150287400759623,0.08188113076273518,0.08209981363225116,0.08242487822501363,0.08289267839028464,0.083290805262873,0.08355702698941253,0.08403905224949221,0.08432118213727714,0.08491052298318531,0.08570860469807484
